,,,,,,,,,,,,,,,10,11,12,13,14,15,16,매수개수,,,,,,,
종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,종목코드,PER,PBR,기대 ROE,미래가치,기대복리수익률,기대이득%,2.59374246,2.839420986,3.105848208,3.39456739,3.707221314,4.045557736,4.411435079,,,,,,,,
쇼박스,"4,015",3,3.2,"2,256",72,2.91,1.3,'086980,55.76388889,1.779698582,-2.675087967,3061.439971,0.762500615,-70.60230045,1180.317637,1078.19164,985.701736,901.8645439,825.8044803,756.7411395,693.9782443,443,,,,,,,
에스앤에스텍,"13,850",6,11.9,"4,477",497,3.42,0.4,'101490,27.86720322,3.093589457,-2.684735657,10550.16958,0.761745096,-70.63142901,4067.547082,3715.605973,3396.872245,3107.957028,2845.842932,2607.840566,2391.550456,223,,,,,,,
에스엠코어,"10,150",2,10.7,"4,036",418,1.76,0.5,'007820,24.28229665,2.514866204,-3.019145634,7470.09457,0.735969908,-71.62517406,2880.044833,2630.851363,2405.170526,2200.60282,2015.011767,1846.493131,1693.347955,248,,,,,,,
씨젠,"32,400",9,20.4,"6,020","1,069",7.23,0,'096530,30.30869972,5.382059801,-3.067689231,23726.33567,0.732294311,-71.76688426,9147.529499,8356.04716,7639.245087,6989.502031,6400.032169,5864.787309,5378.371266,166,,,,,,,
제일바이오,"7,210",4,10.7,"2,576",220,4.59,0,'052670,32.77272727,2.798913043,-3.149223244,5235.598642,0.726157925,-72.00346848,2018.549923,1843.896579,1685.72264,1542.346355,1412.270323,1294.159912,1186.824366,388,,,,,,,
인산가,"1,925",-5,10.8,"1,047",105,2.01,1.1,'277410,18.33333333,1.838586437,-3.179578373,1393.479004,0.723885197,-72.09109201,537.2464788,490.7616765,448.6629449,410.5026778,375.8823349,344.446698,315.8788419,955,,,,,,,
유바이오로직스,"7,600",17,12.1,"1,402",141,6.74,0,'206650,53.90070922,5.420827389,-3.263908639,5453.796751,0.717604836,-72.33322711,2102.674739,1920.742566,1755.976592,1606.624976,1471.127912,1348.095147,1236.2863,713,,,,,,,
디앤씨미디어,"18,750",14,14.8,"3,441",476,5.06,0,'263720,39.3907563,5.448997384,-3.440643126,13211.28061,0.704601633,-72.83455688,5093.520584,4652.807976,4253.678778,3891.889332,3563.661161,3265.626515,2994.780695,291,,,,,,,
성안,676,-13,-6.4,"1,314",-83,0.17,0,'011300,-8.144578313,0.514459665,-3.494377324,473.6667159,0.700690408,-72.98535152,182.6190237,166.8180655,152.5080056,139.5366954,127.7686644,117.083168,107.372478,761,,,,,,,
엘컴텍,"2,200",4,6.3,912,57,3.99,1.5,'037950,38.59649123,2.412280702,-3.713257824,1506.911019,0.684959554,-73.59184404,580.9794311,530.7106717,485.185018,443.9184278,406.4799188,372.4853574,341.5920198,1096,,,,,,,
국영지앤엠,"2,340",-1,1.4,"1,522",21,1.22,0,'006050,111.4285714,1.537450723,-4.018484922,1552.715426,0.663553601,-74.4171362,598.639013,546.8422731,499.9328113,457.4118725,418.8353742,383.8075063,351.9751279,657,,,,,,,
디알텍,"1,795",4,4.3,771,32,1.91,0,'214680,56.09375,2.328145266,-4.289790513,1157.836192,0.64503409,-75.1311435,446.3959742,407.7719359,372.7922663,341.0850513,312.3191453,286.1993989,262.4624803,1297,,,,,,,
