종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,업종구분,종목코드
케이피에프,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,024880
선광,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003100
케이디켐,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,221980
한일진공,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,123840
한국경제TV,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,039340
씨앤지하이테크,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,264660
비아트론,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,141000
슈프리마에이치큐,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,094840
성우테크론,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,045300
에스텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,069510
베뉴지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,019010
메카로,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,241770
휴온스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,243070
진성티이씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,036890
삼보모터스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,053700
한국아트라스비엑스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,023890
에스티아이,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,039440
와이지-원,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,019210
에이텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,045660
GS홈쇼핑,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,028150
쎌바이오텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,049960
제이엠티,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,094970
코웰패션,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,033290
아이디스홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,054800
에스에프에이,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,056190
제일테크노스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,038010
대원,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,007680
대륙제관,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004780
토비스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,051360
나이스정보통신,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,036800
컴투스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,078340
윈하이텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,192390
SK머티리얼즈,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,036490
동아화성,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,041930
유아이엘,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,049520
삼지전자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,037460
크리스에프앤씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,110790
캐스텍코리아,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,071850
대림제지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,017650
