종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,업종구분,종목코드
태광산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003240
이마트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,139480
사조오양,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006090
삼성공조,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006660
NI스틸,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,008260
세아특수강,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,019440
신한지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,055550
사조씨푸드,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,014710
화천기공,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000850
KB금융,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,105560
대창단조,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,015230
대림산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000210
현대건설기계,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,267270
세방전지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004490
에스제이엠,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,123700
두산인프라코어,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,042670
대성홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,016710
아세아시멘트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,183190
넥센타이어,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002350
성보화학,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003080
한국타이어앤테크놀로지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,161390
삼천리,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,004690
세원정공,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,021820
성창기업지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000180
바다로19호,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,155900
영풍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000670
고려제강,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002240
다스코,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,058730
풍산,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,103140
대한제강,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,084010
E1,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,017940
선진,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,136490
동원산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006040
한국공항,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005430
