종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,업종구분,종목코드
포스코,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,5490
하이스틸,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,71090
경방,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,50
신세계,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,4170
휠라홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,81660
엔에스쇼핑,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,138250
아세아제지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,2310
에스엘,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,5850
노루페인트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,90350
신도리코,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,29530
부산도시가스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,15350
LG디스플레이,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,34220
크라운제과,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,264900
샘표식품,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,248170
케이씨티시,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,9070
한국석유공업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,4090
HDC아이콘트롤스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,39570
한미글로벌,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,53690
웅진씽크빅,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,95720
두올,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,16740
극동유화,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,14530
한국수출포장공업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,2200
삼정펄프,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,9770
선창산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,2820
LG상사,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,1120
현대그린푸드,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,5440
롯데지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,4990
송원산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,4430
대림비앤코,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,5750
한국철강,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,104700
동양,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,1520
팜스코,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,36580
휴켐스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,69260
동화약품,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,20
SK이노베이션,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,96770
부국증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,1270
KSS해운,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,44450
엔피씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,4250
