종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,업종구분,종목코드
APS홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,054620
바른전자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,064520
이녹스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,088390
상상인,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,038540
오가닉티코스메틱,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900300
서한,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,011370
골든센츄리,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900280
에스앤씨엔진그룹,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900080
GRT,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900290
헝셩그룹,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900270
피에스케이홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,031980
로스웰,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900260
차이나그레이트,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900040
성도이엔지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,037350
삼양옵틱스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,225190
현대통신,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,039010
동원개발,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,013120
이엘피,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,063760
한양이엔지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,045100
대원산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005710
컬러레이,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900310
평화정공,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,043370
신원종합개발,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,017000
휴온스글로벌,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,084110
모베이스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,101330
삼목에스폼,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,018310
아시아경제,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,127710
세보엠이씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,011560
코세스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,089890
제이스텍,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,090470
크리스탈신소재,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900250
KMH,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,122450
이스트아시아홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,900110
원익홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,030530
제노레이,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,122310
