종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,업종구분,종목코드
KPX케미칼,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,025000
코오롱인더,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,120110
현대미포조선,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,010620
CJ,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001040
BYC,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001460
동원시스템즈,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,014820
한국프랜지공업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,010100
기아자동차,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000270
삼성화재해상보험,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000810
현대코퍼레이션홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,227840
한솔홈데코,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,025750
현대글로비스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,086280
원림,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005820
한국쉘석유,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002960
우리금융지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,316140
지엠비코리아,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,013870
삼화콘덴서,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001820
계양전기,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,012200
삼성증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,016360
SK증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001510
GS건설,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006360
삼영무역,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002810
태경산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,015890
미원에스씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,268280
기신정기,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,092440
퍼시스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,016800
현대모비스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,012330
삼성전자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005930
방림,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003610
더블유게임즈,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,192080
동성화학,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005190
인팩,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,023810
